Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,x,y
249,의료법인 환명의료재단 조은금강병원,종합병원,지역응급의료기관,50880,경남,김해시,경상남도 김해시 김해대로 1814-37 (삼계동),128.86154862149803,35.26216370901581
254,의료법인대우의료재단대우병원,종합병원,지역응급의료기관,656080,경남,거제시,경상남도 거제시 두모길 16 (두모동),128.72212036524175,34.871954468040784
261,의료법인보원의료재단웅상중앙병원,종합병원,지역응급의료기관,50536,경남,양산시,경상남도 양산시 서창로 59 (명동),129.16453865654472,35.40637528707345
265,의료법인성념의료재단맑은샘병원,종합병원,지역응급의료기관,53209,경남,거제시,경상남도 거제시 연초면 거제대로 4477,128.64365616813652,34.89772476734504
282,의료법인청아의료재단청아병원,종합병원,지역응급의료기관,51230,경남,창원시,경상남도 창원시 마산회원구 내서읍 광려천서로 67 (청아병원),128.50907486856403,35.247463548119654
286,의료법인합포의료재단MH연세병원,종합병원,지역응급의료기관,51740,경남,창원시,"경상남도 창원시 마산합포구 3·15대로 76 (월남동2가, 합포의료재단)",128.56160338646615,35.18631310783513
302,진주고려병원,종합병원,지역응급의료기관,52726,경남,진주시,"경상남도 진주시 동진로 2 (칠암동, 진주고려병원)",128.09223759340713,35.17833720365717
323,강병원,병원,지역응급의료기관,52942,경남,고성군,경상남도 고성군 고성읍 중앙로 49,128.32519560442435,34.97418100342457
332,밀양윤병원,병원,지역응급의료기관,50440,경남,밀양시,경상남도 밀양시 삼문중앙로 32 (삼문동),128.75562372941448,35.48463561982239
333,반도병원,병원,지역응급의료기관,52758,경남,진주시,경상남도 진주시 남강로 701 (장대동),128.0881396349787,35.19175660586768
335,삼성합천병원,병원,지역응급의료기관,50231,경남,합천군,경상남도 합천군 합천읍 대야로 876,128.16333483176786,35.566470558847286
336,삼천포제일병원,병원,지역응급의료기관,52560,경남,사천시,경상남도 사천시 중앙로 136 (벌리동),128.07951281165177,34.93753928624309
337,새통영병원,병원,지역응급의료기관,53034,경남,통영시,경상남도 통영시 무전7길 192 (무전동),128.4206018987806,34.86540054055756
338,새하동병원,병원,지역응급의료기관,52322,경남,하동군,"경상남도 하동군 하동읍 화심길 39, 새하동병원",127.73856172078025,35.08304207532997
349,의령병원,병원,지역응급의료기관,52150,경남,의령군,경상남도 의령군 의령읍 의병로14길 10,128.2587310047448,35.318574454803866
361,의료법인승연의료재단 삼천포서울병원,병원,지역응급의료기관,52561,경남,사천시,경상남도 사천시 남일로 33 (동금동),128.08024651841805,34.93339382235423
365,의료법인이도의료재단남해병원,병원,지역응급의료기관,52417,경남,남해군,경상남도 남해군 남해읍 화전로 169,127.89427850332626,34.84647073167897
379,진주복음병원,병원,지역응급의료기관,52695,경남,진주시,경상남도 진주시 진양호로 370 (신안동),128.0695431830592,35.18524904472051
382,태황의료재단한성병원,병원,지역응급의료기관,50323,경남,창녕군,"경상남도 창녕군 창녕읍 교리1길 2,",128.49338820243986,35.54214900080308
384,한일병원,병원,지역응급의료기관,52812,경남,진주시,경상남도 진주시 대신로 120 (상평동),128.1185618973535,35.17098388631127
385,함양성심병원,병원,지역응급의료기관,50039,경남,함양군,경상남도 함양군 함양읍 고운로 70,127.72926111319032,35.52048442121513
390,산청군보건의료원,보건의료원,지역응급의료기관,52225,경남,산청군,경상남도 산청군 산청읍 중앙로 97,127.88423814438156,35.41608206228128
